,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
135,7.0,19.0,7.8,68.0,10.0,10.0,8.0,12.0,4.0,4.0,5.0,10.0,2.0,8.0,2.0,5.0,,,3.0,1.0,,,4.0,
136,7.0,20.0,9.0,82.0,13.0,24.0,15.0,4.0,6.0,2.0,6.0,12.0,6.0,3.0,3.0,,,2.0,3.0,6.0,,1.0,2.0,
137,7.0,21.0,9.8,116.0,16.0,18.0,20.0,24.0,11.0,12.0,6.0,12.0,3.0,3.0,18.0,3.0,,5.0,7.0,6.0,,2.0,10.0,
138,7.0,22.0,7.7,,20.0,40.0,24.0,9.0,13.0,4.0,2.0,3.0,15.0,8.0,4.0,15.0,,1.0,,,,,8.0,
139,7.0,23.0,8.7,,73.0,28.0,11.0,26.0,20.0,11.0,4.0,13.0,2.0,5.0,5.0,6.0,,6.0,2.0,1.0,,2.0,20.0,
140,7.0,24.0,8.8,,44.0,90.0,32.0,26.0,14.0,11.0,22.0,23.0,11.0,27.0,20.0,17.0,,13.0,4.0,6.0,9.0,17.0,30.0,
141,8.0,1.0,8.2,,38.0,38.0,25.0,52.0,10.0,7.0,7.0,9.0,5.0,5.0,11.0,6.0,,4.0,8.0,6.0,,1.0,3.0,
142,8.0,2.0,8.1,,21.0,42.0,34.0,86.0,24.0,14.0,7.0,18.0,5.0,7.0,8.0,5.0,,1.0,5.0,5.0,,,,
143,8.0,3.0,7.3,,37.0,52.0,23.0,63.0,21.0,3.0,18.0,12.0,6.0,49.0,7.0,6.0,,2.0,,4.0,,1.0,,
144,8.0,4.0,8.1,,29.0,23.0,15.0,66.0,6.0,13.0,10.0,5.0,8.0,10.0,3.0,3.0,,6.0,1.0,6.0,,,4.0,
145,8.0,5.0,7.6,,21.0,29.0,27.0,34.0,9.0,5.0,10.0,36.0,3.0,9.0,7.0,12.0,,7.0,4.0,9.0,,4.0,9.0,
146,8.0,6.0,7.7,,51.0,44.0,21.0,54.0,10.0,7.0,11.0,8.0,3.0,16.0,2.0,5.0,,8.0,9.0,,,,24.0,
147,8.0,7.0,7.7,,55.0,40.0,65.0,43.0,15.0,,4.0,13.0,6.0,23.0,2.0,6.0,,4.0,,,,2.0,2.0,
148,8.0,8.0,6.9,,30.0,25.0,18.0,58.0,18.0,1.0,20.0,17.0,11.0,13.0,11.0,5.0,,,4.0,1.0,,,10.0,
149,8.0,9.0,7.7,,52.0,29.0,,59.0,2.0,2.0,12.0,8.0,3.0,24.0,3.0,1.0,,3.0,1.0,1.0,,2.0,4.0,
150,8.0,10.0,8.0,,28.0,44.0,,88.0,10.0,2.0,9.0,38.0,10.0,10.0,7.0,10.0,,6.0,5.0,18.0,,2.0,,
151,8.0,11.0,7.9,,34.0,19.0,,44.0,19.0,2.0,19.0,6.0,6.0,10.0,3.0,7.0,,,5.0,7.0,,1.0,21.0,
152,8.0,12.0,8.0,,47.0,22.0,,44.0,11.0,5.0,12.0,58.0,10.0,10.0,3.0,6.0,,8.0,7.0,9.0,,,9.0,
153,8.0,13.0,7.5,,58.0,73.0,28.0,47.0,12.0,31.0,24.0,14.0,2.0,13.0,12.0,2.0,,5.0,7.0,2.0,,5.0,5.0,
154,8.0,14.0,7.7,,67.0,30.0,29.0,45.0,5.0,8.0,4.0,15.0,12.0,23.0,2.0,8.0,,2.0,7.0,2.0,,1.0,,
155,8.0,15.0,7.8,,63.0,32.0,10.0,22.0,2.0,,1.0,21.0,9.0,4.0,,3.0,,,13.0,2.0,27.0,2.0,,
156,8.0,16.0,8.1,,60.0,55.0,15.0,20.0,4.0,11.0,10.0,19.0,20.0,14.0,4.0,8.0,,,6.0,,24.0,,6.0,
157,8.0,17.0,7.8,,53.0,28.0,10.0,28.0,8.0,9.0,6.0,10.0,17.0,4.0,2.0,9.0,,18.0,1.0,3.0,19.0,1.0,,
158,8.0,18.0,7.8,,45.0,45.0,10.0,20.0,19.0,3.0,4.0,15.0,2.0,26.0,6.0,3.0,,16.0,2.0,1.0,12.0,2.0,1.0,
159,8.0,19.0,6.6,,21.0,38.0,17.0,33.0,8.0,1.0,1.0,32.0,1.0,7.0,4.0,1.0,,3.0,1.0,2.0,42.0,1.0,,
160,8.0,20.0,7.1,,22.0,39.0,32.0,48.0,3.0,8.0,11.0,25.0,3.0,1.0,9.0,,,,1.0,,22.0,3.0,2.0,
161,8.0,21.0,7.1,,16.0,19.0,29.0,53.0,9.0,7.0,7.0,24.0,30.0,5.0,10.0,13.0,,1.0,1.0,1.0,36.0,2.0,4.0,
162,8.0,22.0,7.1,,15.0,24.0,22.0,41.0,18.0,4.0,16.0,7.0,17.0,14.0,1.0,,,,1.0,2.0,17.0,1.0,,
163,8.0,23.0,7.6,,56.0,48.0,23.0,28.0,1.0,3.0,1.0,8.0,,,1.0,,,7.0,1.0,,15.0,1.0,13.0,
164,8.0,24.0,7.7,,27.0,31.0,22.0,49.0,3.0,20.0,11.0,9.0,,15.0,5.0,4.0,,5.0,1.0,2.0,19.0,1.0,2.0,
165,9.0,1.0,7.6,,42.0,21.0,19.0,33.0,7.0,16.0,9.0,4.0,1.0,3.0,1.0,2.0,,11.0,3.0,2.0,10.0,1.0,,
166,9.0,2.0,7.2,,31.0,39.0,34.0,33.0,10.0,7.0,5.0,31.0,,11.0,1.0,,,5.0,1.0,1.0,31.0,4.0,,11.0
167,9.0,3.0,7.4,,24.0,19.0,34.0,44.0,3.0,2.0,7.0,21.0,,31.0,3.0,,,,2.0,1.0,34.0,,,
168,9.0,4.0,7.8,,40.0,60.0,29.0,40.0,16.0,5.0,13.0,11.0,,11.0,5.0,,,2.0,10.0,7.0,27.0,3.0,,
